"filename", "language", "Markdown", "YAML", "Dart", "JSON", "HTML", "Swift", "C++", "XML", "Properties", "comment", "blank", "total"
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\models\mascota_model.dart", "Dart", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 5, 68
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\models\propietario_model.dart", "Dart", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\models\usuario_model.dart", "Dart", 0, 0, 58, 0, 0, 0, 0, 0, 0, 7, 4, 69
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\routes\app_rutas.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\services\auth_service.dart", "Dart", 0, 0, 39, 0, 0, 0, 0, 0, 0, 8, 6, 53
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\services\mascota_service.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 5, 12, 59
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\services\propietario_service.dart", "Dart", 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 6, 30
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\services\usuario_service.dart", "Dart", 0, 0, 120, 0, 0, 0, 0, 0, 0, 18, 20, 158
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\viewmodels\auth_viewmodel.dart", "Dart", 0, 0, 67, 0, 0, 0, 0, 0, 0, 33, 22, 122
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\viewmodels\mascota_viewmodel.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 4, 13, 69
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\viewmodels\propietario_viewmodel.dart", "Dart", 0, 0, 57, 0, 0, 0, 0, 0, 0, 2, 10, 69
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\viewmodels\usuario_viewmodel.dart", "Dart", 0, 0, 87, 0, 0, 0, 0, 0, 0, 6, 15, 108
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\admin\admin_page.dart", "Dart", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 8, 59
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\admin\ajustes_page.dart", "Dart", 0, 0, 92, 0, 0, 0, 0, 0, 0, 5, 6, 103
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\admin\editar_usuario_page.dart", "Dart", 0, 0, 150, 0, 0, 0, 0, 0, 0, 1, 12, 163
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\admin\lista_pacientes.dart", "Dart", 0, 0, 123, 0, 0, 0, 0, 0, 0, 1, 7, 131
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\admin\menu_page.dart", "Dart", 0, 0, 76, 0, 0, 0, 0, 0, 0, 1, 4, 81
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\admin\registro_paciente.dart", "Dart", 0, 0, 231, 0, 0, 0, 0, 0, 0, 2, 25, 258
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\admin\usuarios_page.dart", "Dart", 0, 0, 141, 0, 0, 0, 0, 0, 0, 1, 10, 152
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\auth\login_page.dart", "Dart", 0, 0, 254, 0, 0, 0, 0, 0, 0, 3, 11, 268
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\auth\registro_page.dart", "Dart", 0, 0, 273, 0, 0, 0, 0, 0, 0, 3, 12, 288
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\recepcionista\recepcionista_page.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\splash\splash_page.dart", "Dart", 0, 0, 71, 0, 0, 0, 0, 0, 0, 6, 12, 89
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\veterinario\veterinario_page.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\views\welcome\welcome_page.dart", "Dart", 0, 0, 157, 0, 0, 0, 0, 0, 0, 8, 7, 172
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\boton.dart", "Dart", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 3, 66
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\botonQR.dart", "Dart", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\boton_icono.dart", "Dart", 0, 0, 51, 0, 0, 0, 0, 0, 0, 2, 4, 57
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\campo_text.dart", "Dart", 0, 0, 48, 0, 0, 0, 0, 0, 0, 1, 4, 53
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\cardBoton.dart", "Dart", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 9, 95
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\container_widget.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 5, 43
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\dropdown.dart", "Dart", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 4, 69
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\encabezado_circular.dart", "Dart", 0, 0, 43, 0, 0, 0, 0, 0, 0, 1, 4, 48
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\fondo.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 4, 34
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\navbar.dart", "Dart", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 9, 72
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\pantallaCarga.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\texto_link copy.dart", "Dart", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\lib\widgets\texto_link.dart", "Dart", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\pubspec.yaml", "YAML", 0, 24, 0, 0, 0, 0, 0, 0, 0, 60, 14, 98
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\web\index.html", "HTML", 0, 0, 0, 0, 19, 0, 0, 0, 0, 15, 5, 39
"c:\Users\Melany.MELANY\Desktop\proyecto\Proyecto 2025\DESARROLLO\zooland\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"Total", "-", 13, 30, 2979, 188, 19, 19, 1, 130, 8, 274, 365, 4026
